Date,Open,High,Low,Close,Adj Close,Volume
2006-06-19,126.150002,126.250000,124.320000,124.400002,89.223808,1075800
2006-06-20,124.790001,125.540001,124.500000,124.839996,89.539383,1112500
2006-06-21,124.800003,126.459999,124.790001,125.900002,90.299637,1539300
2006-06-22,125.610001,125.760002,124.820000,125.250000,89.833450,1981500
2006-06-23,124.550003,125.459999,124.269997,124.669998,89.796021,798900
2006-06-26,124.699997,125.279999,124.500000,125.220001,90.192154,1774200
2006-06-27,125.269997,125.459999,124.000000,124.120003,89.399872,1560900
2006-06-28,124.379997,125.029999,123.919998,125.029999,90.055267,414500
2006-06-29,125.500000,127.540001,125.440002,127.449997,91.798355,2247500
2006-06-30,127.750000,127.820000,127.160004,127.550003,91.870399,2642600
2006-07-03,127.620003,128.229996,127.540001,128.100006,92.266541,779800
2006-07-05,127.480003,127.639999,126.739998,127.309998,91.697502,4635900
2006-07-06,127.449997,128.039993,127.320000,127.629997,91.927986,737600
2006-07-07,127.440002,127.779999,126.559998,126.910004,91.409393,968700
2006-07-10,127.050003,127.620003,126.669998,127.010002,91.481422,654000
2006-07-11,126.839996,127.650002,126.220001,127.650002,91.942398,701000
2006-07-12,127.489998,127.620003,125.980003,126.349998,91.006042,1178400
2006-07-13,125.550003,125.889999,124.250000,124.250000,89.493477,1485600
2006-07-14,124.320000,124.500000,123.089996,123.800003,89.169380,927500
2006-07-17,123.620003,124.269997,123.379997,123.550003,88.989288,998600
2006-07-18,124.019997,124.230003,122.709999,124.190002,89.450272,1336300
2006-07-19,124.410004,126.480003,124.410004,125.879997,90.667511,826600
2006-07-20,126.410004,126.510002,124.970001,125.040001,90.062500,740500
2006-07-21,125.430000,125.430000,124.089996,124.269997,89.507896,688700
